trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1447,11:11:00,11:11:00,23,4,0,0,13.1761
1447,11:14:00,11:14:00,112,5,0,0,14.0746
1447,11:19:00,11:19:00,140,6,0,0,16.4691
1447,11:22:00,11:22:00,81,7,0,0,17.7559
1447,11:26:00,11:26:00,87,8,0,0,19.3642
1447,11:29:00,11:29:00,136,9,0,0,20.4388
1447,11:34:00,11:34:00,145,10,0,0,22.7051
1447,11:40:00,11:40:00,27,11,0,0,26.1081
1447,11:44:00,11:44:00,77,12,0,0,28.1258
1447,11:48:00,11:48:00,30,13,0,0,30.2907
1447,11:52:00,11:52:00,92,14,0,0,32.3710
1447,11:56:00,11:56:00,91,15,0,0,34.6038
1447,12:04:00,12:04:00,34,16,0,0,38.8767
1447,12:13:00,12:13:00,35,17,0,0,43.0746
1448,11:46:00,11:46:00,105,1,0,0,0.0000
1448,11:56:00,11:56:00,38187,2,0,0,4.9894
1448,12:05:00,12:05:00,106,3,0,0,10.4133
1448,12:11:00,12:11:00,23,4,0,0,13.1761
1448,12:14:00,12:14:00,112,5,0,0,14.0746
1448,12:19:00,12:19:00,140,6,0,0,16.4691
1448,12:22:00,12:22:00,81,7,0,0,17.7559
1448,12:26:00,12:26:00,87,8,0,0,19.3642
1448,12:29:00,12:29:00,136,9,0,0,20.4388
1448,12:34:00,12:34:00,145,10,0,0,22.7051
1448,12:40:00,12:40:00,27,11,0,0,26.1081
1448,12:44:00,12:44:00,77,12,0,0,28.1258
1448,12:48:00,12:48:00,30,13,0,0,30.2907
1448,12:52:00,12:52:00,92,14,0,0,32.3710
1448,12:56:00,12:56:00,91,15,0,0,34.6038
1448,13:04:00,13:04:00,34,16,0,0,38.8767
1448,13:15:00,13:15:00,35,17,0,0,43.0746
1449,12:46:00,12:46:00,105,1,0,0,0.0000
1449,12:56:00,12:56:00,38187,2,0,0,4.9894
1449,13:05:00,13:05:00,106,3,0,0,10.4133
1449,13:11:00,13:11:00,23,4,0,0,13.1761
1449,13:14:00,13:14:00,112,5,0,0,14.0746
1449,13:19:00,13:19:00,140,6,0,0,16.4691
1449,13:22:00,13:22:00,81,7,0,0,17.7559
1449,13:26:00,13:26:00,87,8,0,0,19.3642
1449,13:29:00,13:29:00,136,9,0,0,20.4388
1449,13:34:00,13:34:00,145,10,0,0,22.7051
1449,13:40:00,13:40:00,27,11,0,0,26.1081
1449,13:44:00,13:44:00,77,12,0,0,28.1258
1449,13:48:00,13:48:00,30,13,0,0,30.2907
1449,13:52:00,13:52:00,92,14,0,0,32.3710
1449,13:56:00,13:56:00,91,15,0,0,34.6038
1449,14:04:00,14:04:00,34,16,0,0,38.8767
1449,14:15:00,14:15:00,35,17,0,0,43.0746
1450,21:51:00,21:51:00,105,1,0,0,0.0000
1450,22:01:00,22:01:00,38187,2,0,0,4.9894
1450,22:10:00,22:10:00,106,3,0,0,10.4133
1450,22:17:00,22:17:00,23,4,0,0,13.1761
1450,22:20:00,22:20:00,112,5,0,0,14.0746
1450,22:25:00,22:25:00,140,6,0,0,16.4691
1450,22:28:00,22:28:00,81,7,0,0,17.7559
1450,22:32:00,22:32:00,87,8,0,0,19.3642
1450,22:36:00,22:36:00,136,9,0,0,20.4388
1450,22:42:00,22:42:00,145,10,0,0,22.7051
1450,22:48:00,22:48:00,27,11,0,0,26.1081
1450,22:52:00,22:52:00,77,12,0,0,28.1258
1450,22:57:00,22:57:00,30,13,0,0,30.2907
1450,23:01:00,23:01:00,92,14,0,0,32.3710
1450,23:05:00,23:05:00,91,15,0,0,34.6038
1450,23:13:00,23:13:00,34,16,0,0,38.8767
1450,23:22:00,23:22:00,35,17,0,0,43.0746
1451,22:56:00,22:56:00,105,1,0,0,0.0000
1451,23:05:00,23:05:00,38187,2,0,0,4.9894
1451,23:15:00,23:15:00,106,3,0,0,10.4133
1451,23:22:00,23:22:00,23,4,0,0,13.1761
1451,23:25:00,23:25:00,112,5,0,0,14.0746
1451,23:30:00,23:30:00,140,6,0,0,16.4691
