service_id,date,exception_type
14,20160506,1
14,20160510,1
14,20160511,1
14,20160512,1
14,20160513,1
14,20160517,1
14,20160518,1
14,20160519,1
14,20160520,1
15,20160321,1
15,20160328,1
15,20160404,1
15,20160411,1
15,20160418,1
15,20160425,1
15,20160502,1
15,20160509,1
15,20160516,1
16,20160325,1
16,20160326,1
16,20160327,1
16,20160401,1
16,20160402,1
16,20160403,1
16,20160408,1
16,20160409,1
16,20160410,1
16,20160415,1
16,20160416,1
16,20160417,1
16,20160422,1
16,20160423,1
16,20160424,1
16,20160429,1
16,20160430,1
16,20160501,1
16,20160506,1
16,20160507,1
16,20160508,1
16,20160513,1
16,20160514,1
16,20160515,1
16,20160520,1
17,20160321,1
17,20160324,1
17,20160325,1
17,20160326,1
17,20160327,1
17,20160328,1
