route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
15,4,2925,"NEW YORK PENN STATION",0,"5152",1271
15,4,2926,"NEW YORK PENN STATION",0,"5154",1272
15,4,2927,"NEW YORK PENN STATION",0,"5156",1273
15,4,2928,"NEWARK PENN STATION",0,"5444",1274
15,4,2929,"HOBOKEN",0,"2406",1275
15,4,2930,"NEW YORK PENN STATION",0,"5126",1276
15,4,2931,"NEW YORK PENN STATION",0,"5170",1277
15,4,2932,"NEWARK PENN STATION",0,"5742",1278
15,4,2933,"NEWARK PENN STATION",0,"5746",1279
15,4,2934,"NEW YORK PENN STATION",0,"5176",1280
15,4,2935,"NEWARK PENN STATION",0,"5902",1281
15,4,2936,"RARITAN",1,"5101",1282
15,5,2937,"RARITAN",1,"8551",1283
15,2,2938,"RARITAN",1,"5511",1284
15,2,2939,"RARITAN",1,"5513",1285
15,2,2940,"RARITAN",1,"5515",1286
15,2,2941,"RARITAN",1,"5517",1287
15,2,2942,"RARITAN",1,"5519",1288
15,2,2943,"RARITAN",1,"5521",1289
15,2,2944,"RARITAN",1,"5523",1290
15,2,2945,"RARITAN",1,"5525",1291
15,2,2946,"RARITAN",1,"5527",1292
15,2,2947,"RARITAN",1,"5529",1293
15,2,2948,"RARITAN",1,"5533",1294
15,2,2949,"RARITAN",1,"5537",1295
15,2,2950,"RARITAN",1,"5539",1296
15,2,2951,"RARITAN",1,"5541",1297
15,2,2952,"RARITAN",1,"5543",1298
15,1,2953,"RARITAN",1,"5503",1299
15,2,2954,"RARITAN",1,"5531",1300
15,2,2955,"RARITAN",1,"5535",1301
15,4,2956,"HIGH BRIDGE",1,"5743",1302
15,4,2957,"RARITAN",1,"5445",1303
15,4,2958,"HIGH BRIDGE",1,"5737",1304
15,4,2959,"RARITAN",1,"5415",1305
15,4,2960,"RARITAN",1,"5435",1306
15,4,2961,"RARITAN",1,"5441",1307
15,3,2962,"RARITAN",1,"5403",1308
15,4,2963,"RARITAN",1,"5413",1309
15,4,2964,"RARITAN",1,"5431",1310
15,4,2965,"RARITAN",1,"5439",1311
15,4,2966,"RARITAN",1,"5447",1312
15,4,2967,"RARITAN",1,"5451",1313
15,4,2968,"RARITAN",1,"5409",1314
15,4,2969,"RARITAN",1,"5121",1315
15,4,2970,"RARITAN",1,"5123",1316
15,4,2971,"RARITAN",1,"5127",1317
15,4,2972,"RARITAN",1,"5155",1318
15,4,2973,"HIGH BRIDGE",1,"5749",1319
15,4,2974,"HIGH BRIDGE",1,"5711",1320
15,4,2975,"HIGH BRIDGE",1,"5719",1321
15,4,2976,"HIGH BRIDGE",1,"5733",1322
15,4,2977,"HIGH BRIDGE",1,"5175",1323
15,4,2978,"HIGH BRIDGE",1,"5197",1324
15,4,2979,"HIGH BRIDGE",1,"5179",1325
15,4,2980,"HIGH BRIDGE",1,"5193",1326
16,7,2981,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1327
